,index,interval,quarterbeats,duration_qb,mc,mn,mc_onset,mn_onset,timesig,staff,voice,volta,label,globalkey,pedal,chord,special,numeral,form,figbass,changes,cadence,phraseend,chord_type,globalkey_is_minor,chord_tones,added_tones,root,bass_note,alt_label,pedalend
102,102,"[177.0, 180.0)",177,3.0,60,60,0,0,3/4,4,1,,I\\,F,,I,,I,,,,,\\,M,False,"(0, 4, 1)",(),0,0,,
103,103,"[180.0, 183.0)",180,3.0,61,61,0,0,3/4,4,1,,#viio65/ii,F,,#io65,,#i,o,65,,,,o7,False,"(4, 1, -2, 7)",(),7,4,,
104,104,"[183.0, 186.0)",183,3.0,62,62,0,0,3/4,4,1,,ii6,F,,ii6,,ii,,6,,,,m,False,"(-1, 3, 2)",(),2,-1,,
105,105,"[186.0, 189.0)",186,3.0,63,63,0,0,3/4,4,1,,V7,F,,V7,,V,,7,,,,Mm7,False,"(1, 5, 2, -1)",(),1,1,,
106,106,"[189.0, 190.0)",189,1.0,64,64,0,0,3/4,4,1,,I\\,F,,I,,I,,,,,\\,M,False,"(0, 4, 1)",(),0,0,,
107,107,"[190.0, 191.0)",190,1.0,64,64,1/4,1/4,3/4,4,1,,I6,F,,I6,,I,,6,,,,M,False,"(4, 1, 0)",(),0,4,,
108,108,"[191.0, 192.0)",191,1.0,64,64,1/2,1/2,3/4,4,1,,viio7/V,F,,#ivo7,,#iv,o,7,,,,o7,False,"(6, 3, 0, -3)",(),6,6,,
109,109,"[192.0, 193.0)",192,1.0,65,65,0,0,3/4,4,1,,V(4),F,,V(4),,V,,,4,,,M,False,"(1, 0, 2)",(),1,1,,
110,110,"[193.0, 194.0)",193,1.0,65,65,1/4,1/4,3/4,4,1,,V,F,,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
111,111,"[194.0, 195.0)",194,1.0,65,65,1/2,1/2,3/4,4,1,,V43/ii,F,,VI43,,VI,,43,,,,Mm7,False,"(4, 1, 3, 7)",(),3,4,,
112,112,"[195.0, 196.0)",195,1.0,66,66,0,0,3/4,4,1,,ii,F,,ii,,ii,,,,,,m,False,"(2, -1, 3)",(),2,2,,
113,113,"[196.0, 197.0)",196,1.0,66,66,1/4,1/4,3/4,4,1,,ii6,F,,ii6,,ii,,6,,,,m,False,"(-1, 3, 2)",(),2,-1,,
114,114,"[197.0, 198.0)",197,1.0,66,66,1/2,1/2,3/4,4,1,,V43/vi,F,,III43,,III,,43,,,,Mm7,False,"(5, 2, 4, 8)",(),4,5,,
115,115,"[198.0, 199.0)",198,1.0,67,67,0,0,3/4,4,1,,vi(4+2),F,,vi(4+2),,vi,,,4+2,,,m,False,"(3, 2, 4)","(5,)",3,3,,
116,116,"[199.0, 200.0)",199,1.0,67,67,1/4,1/4,3/4,4,1,,V/ii,F,,VI,,VI,,,,,,M,False,"(3, 7, 4)",(),3,3,,
117,117,"[200.0, 201.0)",200,1.0,67,67,1/2,1/2,3/4,4,1,,V43/iii,F,,VII43,,VII,,43,,,,Mm7,False,"(6, 3, 5, 9)",(),5,6,,
118,118,"[201.0, 202.0)",201,1.0,68,68,0,0,3/4,4,1,,iii,F,,iii,,iii,,,,,,m,False,"(4, 1, 5)",(),4,4,,
119,119,"[202.0, 203.0)",202,1.0,68,68,1/4,1/4,3/4,4,1,,V2/vi,F,,III2,,III,,2,,,,Mm7,False,"(2, 4, 8, 5)",(),4,2,,
120,120,"[203.0, 204.0)",203,1.0,68,68,1/2,1/2,3/4,4,1,,vi6,F,,vi6,,vi,,6,,,,m,False,"(0, 4, 3)",(),3,0,,
121,121,"[204.0, 205.0)",204,1.0,69,69,0,0,3/4,4,1,,V43/vi,F,,III43,,III,,43,,,,Mm7,False,"(5, 2, 4, 8)",(),4,5,,
122,122,"[205.0, 206.0)",205,1.0,69,69,1/4,1/4,3/4,4,1,,vi,F,,vi,,vi,,,,,,m,False,"(3, 0, 4)",(),3,3,,
123,123,"[206.0, 207.0)",206,1.0,69,69,1/2,1/2,3/4,4,1,,V65/vi,F,,III65,,III,,65,,,,Mm7,False,"(8, 5, 2, 4)",(),4,8,,
124,124,"[207.0, 208.0)",207,1.0,70,70,0,0,3/4,4,1,,vi,F,,vi,,vi,,,,,,m,False,"(3, 0, 4)",(),3,3,,
125,125,"[208.0, 209.0)",208,1.0,70,70,1/4,1/4,3/4,4,1,,#viio43/ii,F,,#io43,,#i,o,43,,,,o7,False,"(1, -2, 7, 4)",(),7,1,,
126,126,"[209.0, 210.0)",209,1.0,70,70,1/2,1/2,3/4,4,1,,ii6,F,,ii6,,ii,,6,,,,m,False,"(-1, 3, 2)",(),2,-1,,
127,127,"[210.0, 211.0)",210,1.0,71,71,0,0,3/4,4,1,,#viio65/ii,F,,#io65,,#i,o,65,,,,o7,False,"(4, 1, -2, 7)",(),7,4,,
128,128,"[211.0, 212.0)",211,1.0,71,71,1/4,1/4,3/4,4,1,,ii,F,,ii,,ii,,,,,,m,False,"(2, -1, 3)",(),2,2,,
129,129,"[212.0, 213.0)",212,1.0,71,71,1/2,1/2,3/4,4,1,,#viio7/ii,F,,#io7,,#i,o,7,,,,o7,False,"(7, 4, 1, -2)",(),7,7,,
130,130,"[213.0, 214.0)",213,1.0,72,72,0,0,3/4,4,1,,ii,F,,ii,,ii,,,,,,m,False,"(2, -1, 3)",(),2,2,,
131,131,"[214.0, 215.0)",214,1.0,72,72,1/4,1/4,3/4,4,1,,ii6,F,,ii6,,ii,,6,,,,m,False,"(-1, 3, 2)",(),2,-1,,
132,132,"[215.0, 216.0)",215,1.0,72,72,1/2,1/2,3/4,4,1,,vii%7/V,F,,#iv%7,,#iv,%,7,,,,%7,False,"(6, 3, 0, 4)",(),6,6,,
133,133,"[216.0, 217.0)",216,1.0,73,73,0,0,3/4,4,1,,V,F,,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
134,134,"[217.0, 218.0)",217,1.0,73,73,1/4,1/4,3/4,4,1,,vii%7,F,,vii%7,,vii,%,7,,,,%7,False,"(5, 2, -1, 3)",(),5,5,,
135,135,"[218.0, 219.0)",218,1.0,73,73,1/2,1/2,3/4,4,1,,I,F,,I,,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,
136,136,"[219.0, 220.0)",219,1.0,74,74,0,0,3/4,4,1,,ii,F,,ii,,ii,,,,,,m,False,"(2, -1, 3)",(),2,2,,
137,137,"[220.0, 221.0)",220,1.0,74,74,1/4,1/4,3/4,4,1,,I6,F,,I6,,I,,6,,,,M,False,"(4, 1, 0)",(),0,4,,
138,138,"[221.0, 222.0)",221,1.0,74,74,1/2,1/2,3/4,4,1,,viio64,F,,viio64,,vii,o,64,,,,o,False,"(-1, 5, 2)",(),5,-1,,
139,139,"[222.0, 223.0)",222,1.0,75,75,0,0,3/4,4,1,,V(+2),F,,V(+2),,V,,,+2,,,M,False,"(1, 5, 2)","(3,)",1,1,,
141,141,"[224.0, 225.0)",224,1.0,75,75,1/2,1/2,3/4,4,1,,vii%7,F,,vii%7,,vii,%,7,,,,%7,False,"(5, 2, -1, 3)",(),5,5,,
142,142,"[225.0, 226.0)",225,1.0,76,76,0,0,3/4,4,1,,I,F,,I,,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,
143,143,"[226.0, 227.0)",226,1.0,76,76,1/4,1/4,3/4,4,1,,V43,F,,V43,,V,,43,,,,Mm7,False,"(2, -1, 1, 5)",(),1,2,,
144,144,"[227.0, 228.0)",227,1.0,76,76,1/2,1/2,3/4,4,1,,I6,F,,I6,,I,,6,,,,M,False,"(4, 1, 0)",(),0,4,,
145,145,"[228.0, 229.0)",228,1.0,77,77,0,0,3/4,4,1,,ii6,F,,ii6,,ii,,6,,,,m,False,"(-1, 3, 2)",(),2,-1,,
146,146,"[229.0, 230.0)",229,1.0,77,77,1/4,1/4,3/4,4,1,,ii,F,,ii,,ii,,,,,,m,False,"(2, -1, 3)",(),2,2,,
147,147,"[230.0, 231.0)",230,1.0,77,77,1/2,1/2,3/4,4,1,,V7,F,,V7,,V,,7,,,,Mm7,False,"(1, 5, 2, -1)",(),1,1,,
148,148,"[231.0, 233.0)",231,2.0,78,78,0,0,3/4,4,1,,I\\,F,,I,,I,,,,,\\,M,False,"(0, 4, 1)",(),0,0,,
149,149,"[233.0, 234.0)",233,1.0,78,78,1/2,1/2,3/4,4,1,,viio43/V,F,,#ivo43,,#iv,o,43,,,,o7,False,"(0, -3, 6, 3)",(),6,0,,
150,150,"[234.0, 235.0)",234,1.0,79,79,0,0,3/4,4,1,,V6(b64),F,,V6(b64),,V,,6,b64,,,M,False,"(0, -3, 1)",(),1,0,,
151,151,"[235.0, 236.0)",235,1.0,79,79,1/4,1/4,3/4,4,1,,V6,F,,V6,,V,,6,,,,M,False,"(5, 2, 1)",(),1,5,,
152,152,"[236.0, 237.0)",236,1.0,79,79,1/2,1/2,3/4,4,1,,V,F,,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
153,153,"[237.0, 239.0)",237,2.0,80,80,0,0,3/4,4,1,,I,F,,I,,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,
154,154,"[239.0, 240.0)",239,1.0,80,80,1/2,1/2,3/4,4,1,,viio43/V,F,,#ivo43,,#iv,o,43,,,,o7,False,"(0, -3, 6, 3)",(),6,0,,
155,155,"[240.0, 241.0)",240,1.0,81,81,0,0,3/4,4,1,,V6(b64),F,,V6(b64),,V,,6,b64,,,M,False,"(0, -3, 1)",(),1,0,,
156,156,"[241.0, 242.0)",241,1.0,81,81,1/4,1/4,3/4,4,1,,V6,F,,V6,,V,,6,,,,M,False,"(5, 2, 1)",(),1,5,,
157,157,"[242.0, 243.0)",242,1.0,81,81,1/2,1/2,3/4,4,1,,V,F,,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
158,158,"[243.0, 244.0)",243,1.0,82,82,0,0,3/4,4,1,,I,F,,I,,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,
159,159,"[244.0, 245.0)",244,1.0,82,82,1/4,1/4,3/4,4,1,,V6,F,,V6,,V,,6,,,,M,False,"(5, 2, 1)",(),1,5,,
160,160,"[245.0, 246.0)",245,1.0,82,82,1/2,1/2,3/4,4,1,,V,F,,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
161,161,"[246.0, 247.0)",246,1.0,83,83,0,0,3/4,4,1,,I,F,,I,,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,
162,162,"[247.0, 248.0)",247,1.0,83,83,1/4,1/4,3/4,4,1,,V6,F,,V6,,V,,6,,,,M,False,"(5, 2, 1)",(),1,5,,
163,163,"[248.0, 249.0)",248,1.0,83,83,1/2,1/2,3/4,4,1,,V,F,,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
164,164,"[249.0, 252.0)",249,3.0,84,84,0,0,3/4,4,1,,I,F,,I,,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,
165,165,"[252.0, 255.0)",252,3.0,85,85,0,0,3/4,4,1,,I\\,F,,I,,I,,,,,\\,M,False,"(0, 4, 1)",(),0,0,,
166,166,"[255.0, 267.0)",255,12.0,86,86,0,0,3/4,4,1,,i.V,F,,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
167,167,"[267.0, 270.0)",267,3.0,90,90,0,0,3/4,4,1,,bVI.I[I,F,bVI,bVI,,bVI,,,,,,M,False,"(0, 4, 1)",(),0,0,,
168,168,"[270.0, 278.0)",270,8.0,91,91,0,0,3/4,4,1,,I,F,bVI,bVI,,bVI,,,,,,M,False,"(0, 4, 1)",(),0,0,,
169,169,"[278.0, 279.0)",278,1.0,93,93,1/2,1/2,3/4,4,1,,V7,F,bVI,bIII7,,bIII,,7,,,,Mm7,False,"(1, 5, 2, -1)",(),1,1,,
170,170,"[279.0, 290.0)",279,11.0,94,94,0,0,3/4,4,1,,I,F,bVI,bVI,,bVI,,,,,,M,False,"(0, 4, 1)",(),0,0,,
171,171,"[290.0, 291.0)",290,1.0,97,97,1/2,1/2,3/4,4,1,,V7,F,bVI,bIII7,,bIII,,7,,,,Mm7,False,"(1, 5, 2, -1)",(),1,1,,
172,172,"[291.0, 294.0)",291,3.0,98,98,0,0,3/4,4,1,,I],F,bVI,bVI,,bVI,,,,,,M,False,"(0, 4, 1)",(),0,0,,
173,173,"[294.0, 295.0)",294,1.0,99,99,0,0,3/4,4,1,,i.VI,F,,bVI,,bVI,,,,,,M,False,"(-4, 0, -3)",(),-4,-4,,
174,174,"[295.0, 296.0)",295,1.0,99,99,1/4,1/4,3/4,4,1,,i64,F,,i64,,i,,64,,,,m,False,"(1, 0, -3)",(),0,1,,
175,175,"[296.0, 297.0)",296,1.0,99,99,1/2,1/2,3/4,4,1,,viio/V,F,,#ivo,,#iv,o,,,,,o,False,"(6, 3, 0)",(),6,6,,
176,176,"[297.0, 299.0)",297,2.0,100,100,0,0,3/4,4,1,,V(b64),F,,V(bb64),,V,,,bb64,,,M,False,"(1, 0, -10)",(),1,1,,
177,177,"[299.0, 300.0)",299,1.0,100,100,1/2,1/2,3/4,4,1,,V,F,,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
178,178,"[300.0, 303.0)",300,3.0,101,101,0,0,3/4,4,1,,i\\,F,,i,,i,,,,,\\,m,False,"(0, -3, 1)",(),0,0,,
179,179,"[303.0, 315.0)",303,12.0,102,102,0,0,3/4,4,1,,V7/IV,F,,I7,,I,,7,,,,Mm7,False,"(0, 4, 1, -2)",(),0,0,,
180,180,"[315.0, 327.0)",315,12.0,106,106,0,0,3/4,4,1,,V/bVII,F,,bIV,,bIV,,,,,,M,False,"(-8, -4, -7)",(),-8,-8,,
181,181,"[327.0, 330.0)",327,3.0,110,110,0,0,3/4,4,1,,viio65,F,,bviio65,,bvii,o,65,,,,o7,False,"(-5, -8, -11, -2)",(),-2,-5,,
182,182,"[330.0, 333.0)",330,3.0,111,111,0,0,3/4,4,1,,V65,F,,V65,,V,,65,,,,Mm7,False,"(5, 2, -1, 1)",(),1,5,,
183,183,"[333.0, 336.0)",333,3.0,112,112,0,0,3/4,4,1,,i(+2),F,,i(+2),,i,,,+2,,,m,False,"(0, -3, 1)","(2,)",0,0,,
184,184,"[336.0, 339.0)",336,3.0,113,113,0,0,3/4,4,1,,i,F,,i,,i,,,,,,m,False,"(0, -3, 1)",(),0,0,,
185,185,"[339.0, 360.0)",339,21.0,114,114,0,0,3/4,4,1,,V\\,F,,V,,V,,,,,\\,M,False,"(1, 5, 2)",(),1,1,,
186,186,"[360.0, 363.0)",360,3.0,121,121,0,0,3/4,4,1,,V/vi,F,,bIII,,bIII,,,,,,M,False,"(-3, 1, -2)",(),-3,-3,,
187,187,"[363.0, 374.0)",363,11.0,122,122,0,0,3/4,4,1,,V(64)/ii,F,,VI(64),,VI,,,64,,,M,False,"(3, 2, -1)",(),3,3,,
188,188,"[374.0, 375.0)",374,1.0,125,125,1/2,1/2,3/4,4,1,,V7/ii,F,,VI7,,VI,,7,,,,Mm7,False,"(3, 7, 4, 1)",(),3,3,,
189,189,"[375.0, 386.0)",375,11.0,126,126,0,0,3/4,4,1,,V(64)/ii,F,,VI(64),,VI,,,64,,,M,False,"(3, 2, -1)",(),3,3,,
190,190,"[386.0, 387.0)",386,1.0,129,129,1/2,1/2,3/4,4,1,,V7/ii,F,,VI7,,VI,,7,,,,Mm7,False,"(3, 7, 4, 1)",(),3,3,,
191,191,"[387.0, 396.0)",387,9.0,130,130,0,0,3/4,4,1,,V7/V,F,,II7,,II,,7,,,,Mm7,False,"(2, 6, 3, 0)",(),2,2,,
192,192,"[396.0, 398.0)",396,2.0,133,133,0,0,3/4,4,1,,V/V,F,,II,,II,,,,,,M,False,"(2, 6, 3)",(),2,2,,
193,193,"[398.0, 399.0)",398,1.0,133,133,1/2,1/2,3/4,4,1,,V(64)/V,F,,II(64),,II,,,64,,,M,False,"(2, 1, 5)",(),2,2,,
194,194,"[399.0, 408.0)",399,9.0,134,134,0,0,3/4,4,1,,V7/V,F,,II7,,II,,7,,,,Mm7,False,"(2, 6, 3, 0)",(),2,2,,
195,195,"[408.0, 410.0)",408,2.0,137,137,0,0,3/4,4,1,,V/V,F,,II,,II,,,,,,M,False,"(2, 6, 3)",(),2,2,,
196,196,"[410.0, 414.0)",410,4.0,137,137,1/2,1/2,3/4,4,1,,V,F,,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
197,197,"[414.0, 420.0)",414,6.0,139,139,0,0,3/4,4,1,,V7,F,,V7,,V,,7,,,,Mm7,False,"(1, 5, 2, -1)",(),1,1,,
198,198,"[420.0, 422.0)",420,2.0,141,141,0,0,3/4,4,1,,V,F,,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
199,199,"[422.0, 423.0)",422,1.0,141,141,1/2,1/2,3/4,4,1,,V(64),F,,V(b64),,V,,,b64,,,M,False,"(1, 0, -3)",(),1,1,,
200,200,"[423.0, 426.0)",423,3.0,142,142,0,0,3/4,4,1,,V,F,,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
201,201,"[426.0, 429.0)",426,3.0,143,143,0,0,3/4,4,1,,V7,F,,V7,,V,,7,,,,Mm7,False,"(1, 5, 2, -1)",(),1,1,,
202,202,"[429.0, 435.0)",429,6.0,144,144,0,0,3/4,4,1,,V,F,,V,,V,,,,,,M,False,"(1, 5, 2)",(),1,1,,
