,new_segment,new_slice,pitch,tied
0,False,False,F4,True
1,False,False,F4,True
2,False,False,F5,True
3,False,False,F5,True
4,False,True,F4,True
5,False,False,F4,True
6,False,False,F5,True
7,False,False,F5,True
8,False,True,G4,False
9,False,False,G4,False
10,False,False,G5,False
11,False,False,G5,False
12,False,True,F4,False
13,False,False,F4,False
14,False,False,F5,False
15,False,False,F5,False
16,False,True,E4,False
17,False,False,E4,False
18,False,False,E5,False
19,False,False,E5,False
20,False,True,F4,False
21,False,False,F4,False
22,False,False,F5,False
23,False,False,F5,False
24,True,True,C4,False
25,False,False,C4,False
26,False,False,C5,False
27,False,False,C5,False
28,True,True,F4,True
29,False,False,F4,True
30,False,False,F5,True
31,False,False,F5,True
32,False,True,F4,True
33,False,False,F4,True
34,False,False,F5,True
35,False,False,F5,True
36,False,True,G4,False
37,False,False,G4,False
38,False,False,G5,False
39,False,False,G5,False
40,False,True,F4,False
41,False,False,F4,False
42,False,False,F5,False
43,False,False,F5,False
44,False,True,E4,False
45,False,False,E4,False
46,False,False,E5,False
47,False,False,E5,False
48,False,True,F4,False
49,False,False,F4,False
50,False,False,F5,False
51,False,False,F5,False
52,True,True,D4,False
53,False,False,D4,False
54,False,False,D5,False
55,False,False,D5,False
56,False,True,D4,False
57,False,False,D5,False
58,False,False,Bb5,True
59,False,False,F6,True
60,False,True,D4,False
61,False,False,D5,False
62,False,False,Bb5,True
63,False,False,F6,True
64,False,True,D4,False
65,False,False,D5,False
66,False,False,Bb5,True
67,False,False,G6,False
68,False,True,D4,False
69,False,False,D5,False
70,False,False,Bb5,True
71,False,False,F6,False
72,False,True,D4,False
73,False,False,D5,False
74,False,False,Bb5,True
75,False,False,E6,False
76,False,True,D4,False
77,False,False,D5,False
78,False,False,Bb5,True
79,False,False,F6,False
80,True,True,E4,False
81,False,False,C5,True
82,False,False,Bb5,True
83,False,False,G6,False
84,False,True,E4,False
85,False,False,C5,True
86,False,False,G5,False
87,False,False,Bb5,False
88,True,True,F4,False
89,False,False,C5,True
90,False,False,F5,False
91,False,False,A5,False
92,True,True,F5,False
93,False,False,A5,False
94,False,False,D4,False
95,False,False,D5,False
96,True,True,Bb3,False
97,False,False,G4,False
98,False,False,Bb5,False
99,False,False,D6,False
100,False,True,Bb3,False
101,False,False,G4,False
102,False,False,G5,False
103,False,False,Bb5,False
104,True,True,C4,False
105,False,False,C5,False
106,False,False,F5,False
107,False,False,A5,False
108,False,True,C4,False
109,False,False,F5,False
110,False,False,A5,False
111,False,False,B4,False
112,False,True,C4,False
113,False,False,F5,False
114,False,False,A5,False
115,False,False,C5,False
116,False,True,C4,False
117,False,False,F5,False
118,False,False,A5,False
119,False,False,B4,False
120,False,True,C4,False
121,False,False,C5,False
122,False,False,E5,False
123,False,False,G5,False
124,True,True,F4,True
125,False,False,F4,True
126,False,False,F5,True
127,False,False,F5,True
128,False,True,F4,True
129,False,False,F4,True
130,False,False,F5,True
131,False,False,F5,True
132,False,True,G4,False
133,False,False,G4,False
134,False,False,G5,False
135,False,False,G5,False
136,False,True,F4,False
137,False,False,F4,False
138,False,False,F5,False
139,False,False,F5,False
140,False,True,E4,False
141,False,False,E4,False
142,False,False,E5,False
143,False,False,E5,False
144,False,True,F4,False
145,False,False,F4,False
146,False,False,F5,False
147,False,False,F5,False
